code;answer
"Χ ← 5\nΥ ← 2\nΖ ← Χ DIV Υ + Χ MOD Υ\nΓΡΑΨΕ Ζ | Ποια είναι η τιμή του Ζ?";3
"Α ← 10\nΒ ← 20\nΑ ← Β\nΒ ← Α\nΓΡΑΨΕ Α | Ποια είναι η τιμή του Α?";20
"Σ ← 0\nΓΙΑ i ΑΠΟ 1 ΜΕΧΡΙ 10 ΜΕ_ΒΗΜΑ 3\n    Σ ← Σ + 1\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ | Πόσες φορές εκτελέστηκε ο βρόχος?";4
"Χ ← 1\nΟΣΟ Χ < 10 ΕΠΑΝΑΛΑΒΕ\n    Χ ← Χ * 3\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ | Ποια είναι η τελική τιμή του Χ?";27
"Α ← ΨΕΥΔΗΣ\nΒ ← ΑΛΗΘΗΣ\nΓ ← (ΟΧΙ Α) ΚΑΙ Β\nΓΡΑΨΕ Γ | Είναι ΑΛΗΘΗΣ ή ΨΕΥΔΗΣ?";ΑΛΗΘΗΣ
"Α ← 5\nΒ ← 12\nΑΝ Β MOD Α = 2 ΤΟΤΕ\n    Χ ← 1\nΑΛΛΙΩΣ\n    Χ ← 2\nΤΕΛΟΣ_ΑΝ\nΓΡΑΨΕ Χ | Ποια είναι η τιμή του Χ?";1
"Σ ← 0\nΓΙΑ i ΑΠΟ 1 ΜΕΧΡΙ 5\n    ΑΝ i MOD 2 <> 0 ΤΟΤΕ\n        Σ ← Σ + i\n    ΤΕΛΟΣ_ΑΝ\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ | Ποια είναι η τελική τιμή του Σ?";9
"Κ ← 10\nΑΡΧΗ_ΕΠΑΝΑΛΗΨΗΣ\n    Κ ← Κ - 3\nΜΕΧΡΙΣ_ΟΤΟΥ Κ < 2 | Πόσες φορές εκτελέστηκε ο βρόχος?";3
"Α ← 20\nΒ ← 26\nΓ ← Α + Β\nΓΡΑΨΕ Γ | Ποιο είναι το αποτέλεσμα?";46
"Χ ← 10\nΥ ← 5\nΑΝ Χ > Υ ΤΟΤΕ\n    Χ ← Υ\n    Υ ← Χ\nΤΕΛΟΣ_ΑΝ | Ποια είναι η τελική τιμή του Υ?";5
"Σ ← 0\nΓΙΑ i ΑΠΟ 10 ΜΕΧΡΙ 1 ΜΕ_ΒΗΜΑ -2\n    Σ ← Σ + 1\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ | Πόσες φορές εκτελέστηκε ο βρόχος?";5
"Α ← 10\nΒ ← 3\nΧ ← (Α DIV Β) ^ 2\nΓΡΑΨΕ Χ | Ποια είναι η τιμή του Χ?";9
"Χ ← 1\nΟΣΟ Χ <= 5 ΕΠΑΝΑΛΑΒΕ\n    Χ ← Χ + 2\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ | Ποια είναι η τελική τιμή του Χ?";7
"Α ← 2\nΒ ← 3\nΓ ← 4\nΔ ← Α + Β * Γ\nΓΡΑΨΕ Δ | Ποια είναι η τιμή του Δ?";14
