Περιγραφή|Κώδικας
Αντιμετάθεση τιμών δύο μεταβλητών|ΤΕΜΠ <- Χ\n%Χ% <- Υ\n%Υ% <- ΤΕΜΠ
Ώθηση (Push) το ΣΤΟΙΧΕΙΟ σε Στοίβα Σ 10 θέσεων|ΑΝ ΤΟΠ < %10% ΤΟΤΕ\n  ΤΟΠ <- ΤΟΠ + %1%\n  Σ[%ΤΟΠ%] <- ΣΤΟΙΧΕΙΟ\nΑΛΛΙΩΣ\n  ΓΡΑΨΕ 'Υπερχείλιση'\nΤΕΛΟΣ_ΑΝ
Άθροισμα θετικών αριθμών. Η επανάληψη σταματά όταν διαβαστούν 3 διαδοχικοί αρνητικοί αριθμοί ή όταν διαβαστούν 100 αριθμοί|Σ <- 0 !αθροισμα θετικών\nΠ <- 0 !πλήθος αριθμών που δίνονται\nΠ_Α <- 0 !πλήθος αρνητικών\nΟΣΟ Π_Α < %3% ΚΑΙ Π < 100 ΕΠΑΝΑΛΑΒΕ\n  Π <- Π + 1\n  ΔΙΑΒΑΣΕ Χ\n  ΑΝ Χ > 0 ΤΟΤΕ\n    Σ <- Σ + %Χ%\n    Π_Α <- %0%\n  ΑΛΛΙΩΣ_ΑΝ Χ < 0 ΤΟΤΕ\n    Π_Α <- Π_Α + 1\n  ΑΛΛΙΩΣ\n    Π_Α <- %0%\n  ΤΕΛΟΣ_ΑΝ\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ
Εμφάνιση στην έξοδο διαδοχικών αριθμών 1,2,3,4,5,1,2,3,4,1,2,3|ΓΙΑ Χ ΑΠΟ 5 ΜΕΧΡΙ %3% ΜΕ_ΒΗΜΑ %-1%\n  ΓΙΑ %Ψ% ΑΠΟ 1 ΜΕΧΡΙ %Χ% ΜΕ_ΒΗΜΑ %1%\n    ΓΡΑΨΕ Ψ\n  ΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ
Δυαδική αναζήτηση το ΚΛΕΙΔΙ σε ταξινομημένο πίνακα Π[100]|ΔΙΑΒΑΣΕ ΚΛΕΙΔΙ\nΑΡ <- 1\nΔΕ <- 100\nΒΡΕΘΗΚΕ <- ΨΕΥΔΗΣ\nΟΣΟ ΒΡΕΘΗΚΕ = ΨΕΥΔΗΣ ΚΑΙ %ΑΡ% <= ΔΕ ΕΠΑΝΑΛΑΒΕ\n  Μ <- (ΑΡ + ΔΕ) %DIV% 2\n  ΑΝ ΚΛΕΙΔΙ = Π[%Μ%] ΤΟΤΕ\n    ΒΡΕΘΗΚΕ <- ΑΛΗΘΗΣ\n    ΘΕΣΗ <- %Μ%\n  ΑΛΛΙΩΣ_ΑΝ ΚΛΕΙΔΙ %>% Π[Μ] ΤΟΤΕ\n    ΑΡ <- %Μ% + 1\n  ΑΛΛΙΩΣ\n    ΔΕ <- Μ %-% 1\n  ΤΕΛΟΣ_ΑΝ\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ
Ταξινόμηση Bubble Sort χωρίς περιττές επαναλήψεις με χρήση ΜΕΧΡΙΣ_ΟΤΟΥ. Η ταξινόμηση σταματά όταν ο πίνακας είναι ταξινομημένος|Ι <- %2%\nΑΡΧΗ_ΕΠΑΝΑΛΗΨΗΣ\n  ΤΑΞΙΝΟΜΗΜΕΝΟΣ <- %ΑΛΗΘΗΣ%\n  ΓΙΑ J ΑΠΟ 100 ΜΕΧΡΙ %Ι% ΜΕ_ΒΗΜΑ -1\n    ΑΝ Π[J] < Π[J-1] ΤΟΤΕ\n      ΤΕΜΠ <- Π[J]\n      Π[J] <- Π[J-1]\n      Π[J-1] <- ΤΕΜΠ\n      ΤΑΞΙΝΟΜΗΜΕΝΟΣ <- %ΨΕΥΔΗΣ%\n    ΤΕΛΟΣ_ΑΝ\n  ΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ\n  Ι <- %Ι% + 1\nΜΕΧΡΙΣ_ΟΤΟΥ Ι > 100 Η ΤΑΞΙΝΟΜΗΜΕΝΟΣ = ΑΛΗΘΗΣ
Σειριακή αναζήτηση για το ΚΛΕΙΔΙ σε πίνακα 2 διαστάσεων Π[10,20]|Ι <- 1\nΒΡΕΘΗΚΕ <- ΨΕΥΔΗΣ\nΟΣΟ Ι <= %10% ΚΑΙ ΒΡΕΘΗΚΕ = %ΨΕΥΔΗΣ% ΕΠΑΝΑΛΑΒΕ\n  J <- %1%\n  ΟΣΟ J <= 20 ΚΑΙ ΒΡΕΘΗΚΕ = ΨΕΥΔΗΣ ΕΠΑΝΑΛΑΒΕ\n    ΑΝ Π[Ι,J] = ΚΛΕΙΔΙ ΤΟΤΕ\n      ΒΡΕΘΗΚΕ <- %ΑΛΗΘΗΣ%\n      ΓΡ <- Ι\n      ΣΤ <- J\n    ΤΕΛΟΣ_ΑΝ\n    J <- J + %1%\n  ΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ\n  Ι <- Ι + 1\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ
Άθροισμα στοιχείων κυρίας διαγωνίου σε τετραγωνικό πίνακα Π[10,10]|Σ <- 0\nΓΙΑ Ι ΑΠΟ 1 ΜΕΧΡΙ 10\n  Σ <- %Σ% + Π[Ι,%Ι%]\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ
Άθροισμα στοιχείων δευτερεύουσας σε τετραγωνικό πίνακα διαγωνίου Π[10,10]|Σ <- %0%\nΓΙΑ Ι ΑΠΟ 1 ΜΕΧΡΙ %10%\n  Σ <- Σ + Π[Ι,%11% - Ι]\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ
Πρόσβαση στοιχείων πάνω από την κυρία διαγώνιο σε τετραγωνικό πίνακα Π[10,10]|ΓΙΑ Ι ΑΠΟ 1 ΜΕΧΡΙ %9%\n  ΓΙΑ J ΑΠΟ %Ι%+%1% ΜΕΧΡΙ 10\n    ΓΡΑΨΕ Π[Ι,J]\n  ΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ
